#Header
x y Displacement(m) Hydrogen_concentration(mol/m^2) Damage

Load step: 3000
0.2 0.0671642 -3.47529e-05 5.37316e-06 0
0.2 0.0656716 -3.48484e-05 5.37363e-06 0
0.2 0.0641791 -3.49306e-05 5.37403e-06 0
0.2 0.0626866 -3.4966e-05 5.37382e-06 0
0.2 0.061194 -3.49569e-05 5.37363e-06 0
0.2 0.0597015 -3.48984e-05 5.37358e-06 0
0.2 0.058209 -3.48111e-05 5.37351e-06 0
0.2 0.0567164 -3.47406e-05 5.37366e-06 0
0.2 0.0552239 -3.46782e-05 5.37375e-06 0
0.2 0.0537313 -3.46248e-05 5.37409e-06 0
0.2 0.0522388 -3.45832e-05 5.3737e-06 0
0.2 0.0507463 -3.45272e-05 5.37388e-06 0
0.2 0.0492537 -3.4462e-05 5.37337e-06 0
0.2 0.0477612 -3.43923e-05 5.37324e-06 0
0.2 0.0462687 -3.43201e-05 5.37294e-06 0
0.2 0.0447761 -3.42313e-05 5.37266e-06 0
0.2 0.0432836 -3.41249e-05 5.37175e-06 0
0.2 0.041791 -3.39911e-05 5.37116e-06 0
0.2 0.0402985 -3.38192e-05 5.37076e-06 0
0.2 0.038806 -3.35697e-05 5.37083e-06 0
0.2 0.0373134 -3.33409e-05 5.37027e-06 0
0.2 0.0358209 -3.30383e-05 5.37067e-06 0
0.2 0.0343284 -3.27299e-05 5.37025e-06 0
0.2 0.0328358 -3.23669e-05 5.36953e-06 0
0.2 0.0313433 -3.20031e-05 5.36913e-06 0
0.2 0.0298507 -3.16217e-05 5.36914e-06 0
0.2 0.0283582 -3.12353e-05 5.36858e-06 0
0.2 0.0268657 -3.08036e-05 5.3687e-06 0
0.2 0.0253731 -3.04395e-05 5.36819e-06 0
0.2 0.0238806 -3.00409e-05 5.36807e-06 0
0.2 0.0223881 -2.96676e-05 5.36728e-06 0
0.2 0.0208955 -2.92934e-05 5.36654e-06 0
0.2 0.019403 -2.88887e-05 5.36603e-06 0
0.2 0.0179104 -2.84049e-05 5.36583e-06 0
0.2 0.0164179 -2.79177e-05 5.36516e-06 0
0.2 0.0149254 -2.74176e-05 5.3651e-06 0
0.2 0.0134328 -2.69468e-05 5.36453e-06 0
0.2 0.0119403 -2.63967e-05 5.36425e-06 0
0.2 0.0104478 -2.58808e-05 5.36355e-06 0
0.2 0.00895522 -2.54338e-05 5.3635e-06 0
0.2 0.00746269 -2.49008e-05 5.36299e-06 0
0.2 0.00597015 -2.43217e-05 5.36278e-06 0
0.2 0.00447761 -2.37976e-05 5.36206e-06 0
0.2 0.00298507 -2.33174e-05 5.36146e-06 0
0.2 0.00149254 -2.27425e-05 5.36042e-06 0
0.198507 0 -2.25829e-05 5.36288e-06 0
0.197015 0 -2e-05 5.36957e-06 0
0.195522 0 -2e-05 5.37764e-06 0
0.19403 0 -2e-05 5.38992e-06 0
0.192537 0 -2e-05 5.40697e-06 0
0.191045 0 -2e-05 5.42957e-06 0
0.189552 0 -2e-05 5.45668e-06 0
0.18806 0 -2e-05 5.48782e-06 0
0.186567 0 -2e-05 5.52166e-06 0
0.185075 0 -2e-05 5.55894e-06 0
0.183582 0 -2e-05 5.59932e-06 0
0.18209 0 -2e-05 5.64235e-06 0
0.180597 0 -2e-05 5.68763e-06 0
0.179104 0 -2e-05 5.73153e-06 0
0.177612 0 -2e-05 5.77522e-06 0
0.176119 0 -2e-05 5.8207e-06 0
0.174627 0 -2e-05 5.87397e-06 0
0.173134 0 -2e-05 5.93919e-06 0
0.171642 0 -2e-05 6.01197e-06 0
0.170149 0 -2e-05 6.0907e-06 0
0.168657 0 -2e-05 6.17299e-06 0
0.167164 0 -2e-05 6.25775e-06 0
0.165672 0 -2e-05 6.34482e-06 0
0.164179 0 -2e-05 6.4338e-06 0
0.162687 0 -2e-05 6.5246e-06 0
0.161194 0 -2e-05 6.61695e-06 0
0.159701 0 -2e-05 6.71075e-06 0
0.158209 0 -2e-05 6.80657e-06 0
0.156716 0 -2e-05 6.90261e-06 0
0.155224 0 -2e-05 7.00064e-06 0
0.153731 0 -2e-05 7.10444e-06 0
0.152239 0 -2e-05 7.21749e-06 0
0.150746 0 -2e-05 7.33844e-06 0
0.149254 0 -2e-05 7.45926e-06 0
0.147761 0 -2e-05 7.58182e-06 0
0.146269 0 -2e-05 7.70565e-06 0
0.144776 0 -2e-05 7.82272e-06 0
0.143284 0 -2e-05 7.94187e-06 0
0.141791 0 -2e-05 8.05991e-06 0
0.140299 0 -2e-05 8.19139e-06 0
0.138806 0 -2e-05 8.33735e-06 0
0.137313 0 -2e-05 8.50056e-06 0
0.135821 0 -2e-05 8.67119e-06 0
0.134328 0 -2e-05 8.84043e-06 0
0.132836 0 -2e-05 9.01048e-06 0
0.131343 0 -2e-05 9.18101e-06 0
0.129851 0 -2e-05 9.35232e-06 0
0.128358 0 -2e-05 9.52493e-06 0
0.126866 0 -2e-05 9.6987e-06 0
0.125373 0 -2e-05 9.87278e-06 0
0.123881 0 -2e-05 1.00467e-05 0
0.122388 0 -2e-05 1.02144e-05 0
0.120896 0 -2e-05 1.03765e-05 0
0.119403 0 -2e-05 1.05393e-05 0
0.11791 0 -2e-05 1.07073e-05 0
0.116418 0 -2e-05 1.08866e-05 0
0.114925 0 -2e-05 1.10846e-05 0
0.113433 0 -2e-05 1.12923e-05 0
0.11194 0 -2e-05 1.14914e-05 0
0.110448 0 -2e-05 1.16818e-05 0
0.108955 0 -2e-05 1.18535e-05 0
0.107463 0 -2e-05 1.20314e-05 0
0.10597 0 -2e-05 1.22281e-05 0
0.104478 0 -2e-05 1.24361e-05 0
0.102985 0 -2e-05 1.2671e-05 0
0.101493 0 -2e-05 1.29241e-05 0
0.1 0 -2e-05 1.31623e-05 0
0.0985075 0 -2e-05 1.34006e-05 0
0.0970149 0 -2e-05 1.36379e-05 0
0.0955224 0 -2e-05 1.38741e-05 0
0.0940299 0 -2e-05 1.41092e-05 0
0.0925373 0 -2e-05 1.43441e-05 0
0.0910448 0 -2e-05 1.45787e-05 0
0.0895522 0 -2e-05 1.48125e-05 0
0.0880597 0 -2e-05 1.50477e-05 0
0.0865672 0 -2e-05 1.52686e-05 0
0.0850746 0 -2e-05 1.54743e-05 0
0.0835821 0 -2e-05 1.56758e-05 0
0.0820896 0 -2e-05 1.58811e-05 0
0.080597 0 -2e-05 1.60865e-05 0
0.0791045 0 -2e-05 1.63195e-05 0
0.0776119 0 -2e-05 1.65568e-05 0
0.0761194 0 -2e-05 1.67997e-05 0
0.0746269 0 -2e-05 1.70181e-05 0
0.0731343 0 -2e-05 1.72417e-05 0
0.0716418 0 -2e-05 1.74579e-05 0
0.0701493 0 -2e-05 1.76739e-05 0
0.0686567 0 -2e-05 1.78924e-05 0
0.0671642 0 -2e-05 1.81202e-05 0
0.0656716 0 -2e-05 1.83282e-05 0
0.0641791 0 -2e-05 1.85191e-05 0
0.0626866 0 -2e-05 1.87377e-05 0
0.061194 0 -2e-05 1.89619e-05 0
0.0597015 0 -2e-05 1.92019e-05 0
0.058209 0 -2e-05 1.944e-05 0
0.0567164 0 -2e-05 1.96647e-05 0
0.0552239 0 -2e-05 1.98815e-05 0
0.0537313 0 -2e-05 2.00911e-05 0
0.0522388 0 -2e-05 2.0294e-05 0
0.0507463 0 -2e-05 2.04893e-05 0
0.0492537 0 -2e-05 2.06821e-05 0
0.0477612 0 -2e-05 2.08533e-05 0
