#Header
x y Displacement(m) Hydrogen_concentration(mol/m^2) Damage

Load step: 3000
0.2 0.0447761 -2.27136e-05 2.62351e-05 0
0.2 0.0432836 -2.24085e-05 2.61716e-05 0
0.2 0.041791 -2.2227e-05 2.61039e-05 0
0.2 0.0402985 -2.19331e-05 2.60405e-05 0
0.2 0.038806 -2.15991e-05 2.59679e-05 0
0.2 0.0373134 -2.1326e-05 2.59078e-05 0
0.2 0.0358209 -2.10395e-05 2.58504e-05 0
0.2 0.0343284 -2.0877e-05 2.57963e-05 0
0.2 0.0328358 -2.07187e-05 2.57439e-05 0
0.2 0.0313433 -2.05952e-05 2.56896e-05 0
0.2 0.0298507 -2.0522e-05 2.56317e-05 0
0.2 0.0283582 -2.04619e-05 2.55823e-05 0
0.2 0.0268657 -2.03924e-05 2.55258e-05 0
0.2 0.0253731 -2.03447e-05 2.54763e-05 0
0.2 0.0238806 -2.0313e-05 2.54277e-05 0
0.2 0.0223881 -2.02992e-05 2.53808e-05 0
0.2 0.0208955 -2.02678e-05 2.53366e-05 0
0.2 0.019403 -2.02355e-05 2.52967e-05 0
0.2 0.0179104 -2.0183e-05 2.52567e-05 0
0.2 0.0164179 -2.0159e-05 2.52198e-05 0
0.2 0.0149254 -2.0149e-05 2.51876e-05 0
0.2 0.0134328 -2.00953e-05 2.51581e-05 0
0.2 0.0119403 -1.9932e-05 2.51321e-05 0
0.2 0.0104478 -1.97109e-05 2.51072e-05 0
0.2 0.00895522 -1.95616e-05 2.50861e-05 0
0.2 0.00746269 -1.94008e-05 2.50693e-05 0
0.2 0.00597015 -1.93897e-05 2.50558e-05 0
0.2 0.00447761 -1.93014e-05 2.50439e-05 0
0.2 0.00298507 -1.93712e-05 2.50356e-05 0.0434783
0.2 0.00149254 -1.92152e-05 2.50296e-05 0.0555556
0.198507 0 -1.9276e-05 2.50284e-05 0
0.197015 0 -2e-05 2.50311e-05 0
0.195522 0 -2e-05 2.50337e-05 0
0.19403 0 -2e-05 2.50367e-05 0
0.192537 0 -2e-05 2.50407e-05 0
0.191045 0 -2e-05 2.50455e-05 0
0.189552 0 -2e-05 2.50513e-05 0
0.18806 0 -2e-05 2.50581e-05 0
0.186567 0 -2e-05 2.50655e-05 0
0.185075 0 -2e-05 2.50736e-05 0
0.183582 0 -2e-05 2.50825e-05 0
0.18209 0 -2e-05 2.50922e-05 0
0.180597 0 -2e-05 2.51023e-05 0
0.179104 0 -2e-05 2.51123e-05 0
0.177612 0 -2e-05 2.51214e-05 0
0.176119 0 -2e-05 2.51304e-05 0
0.174627 0 -2e-05 2.51409e-05 0
0.173134 0 -2e-05 2.51527e-05 0
0.171642 0 -2e-05 2.51659e-05 0
0.170149 0 -2e-05 2.51805e-05 0
0.168657 0 -2e-05 2.51956e-05 0
0.167164 0 -2e-05 2.5211e-05 0
0.165672 0 -2e-05 2.52268e-05 0
0.164179 0 -2e-05 2.52428e-05 0
0.162687 0 -2e-05 2.52591e-05 0
0.161194 0 -2e-05 2.52753e-05 0
0.159701 0 -2e-05 2.52914e-05 0
0.158209 0 -2e-05 2.53076e-05 0
