#Header
x(m) y(m) Displacement(m) Hydrogen_concentration(mol/m^2) Damage

Load step: 3000
0.131915 0 0 1.53411e-05 0
0.130496 0 0 1.54139e-05 0
0.129078 0 0 1.5488e-05 0
0.12766 0 0 1.55635e-05 0
0.126241 0 0 1.56402e-05 0
0.124823 0 0 1.57183e-05 0
0.123404 0 0 1.57977e-05 0
0.121986 0 0 1.58783e-05 0
0.120567 0 0 1.59602e-05 0
0.119149 0 0 1.60434e-05 0
0.11773 0 0 1.61279e-05 0
0.116312 0 0 1.62136e-05 0
0.114894 0 0 1.63005e-05 0
0.113475 0 0 1.63887e-05 0
0.112057 0 0 1.64781e-05 0
0.110638 0 0 1.65687e-05 0
0.10922 0 0 1.66605e-05 0
0.107801 0 0 1.67534e-05 0
0.106383 0 0 1.68476e-05 0
0.104965 0 0 1.69429e-05 0
0.103546 0 0 1.70393e-05 0
0.102128 0 0 1.71369e-05 0
0.100709 0 0 1.72356e-05 0
0.0992908 0 0 1.73354e-05 0
0.0978723 0 0 1.74363e-05 0
0.0964539 0 0 1.75384e-05 0
0.0950355 0 0 1.76414e-05 0
0.093617 0 0 1.77456e-05 0
0.0921986 0 0 1.78508e-05 0
0.0907801 0 0 1.7957e-05 0
0.0893617 0 0 1.80642e-05 0
0.0879433 0 0 1.81725e-05 0
0.0865248 0 0 1.82818e-05 0
0.0851064 0 0 1.8392e-05 0
0.0836879 0 0 1.85032e-05 0
0.0822695 0 0 1.86153e-05 0
0.0808511 0 0 1.87284e-05 0
0.0794326 0 0 1.88424e-05 0
0.0780142 0 0 1.89573e-05 0
0.0765957 0 0 1.90732e-05 0
0.0751773 0 0 1.91899e-05 0
0.0737589 0 0 1.93074e-05 0
0.0723404 0 0 1.94258e-05 0
0.070922 0 0 1.9545e-05 0
0.0695035 0 0 1.96651e-05 0
0.0680851 0 0 1.97859e-05 0
0.0666667 0 0 1.99076e-05 0
0.0652482 0 0 2.003e-05 0
0.0638298 0 0 2.01531e-05 0
0.0624113 0 0 2.0277e-05 0
0.0609929 0 0 2.04016e-05 0
0.0595745 0 0 2.05268e-05 0
0.058156 0 0 2.06528e-05 0
0.0567376 0 0 2.07794e-05 0
0.0553191 0 0 2.09066e-05 0
0.0539007 0 0 2.10345e-05 0
0.0524823 0 0 2.1163e-05 0
0.0510638 0 0 2.1292e-05 0
0.0496454 0 0 2.14216e-05 0
0.048227 0 0 2.15517e-05 0
0.0468085 0 0 2.16823e-05 0
0.0453901 0 0 2.18134e-05 0
0.0439716 0 0 2.1945e-05 0
0.0425532 0 0 2.2077e-05 0
0.0411348 0 0 2.22094e-05 0
0.0397163 0 0 2.23421e-05 0
0.0382979 0 0 2.24752e-05 0
0.0368794 0 0 2.26086e-05 0
0.035461 0 0 2.27422e-05 0
0.0340426 0 0 2.28761e-05 0
0.0326241 0 0 2.30101e-05 0
0.0312057 0 0 2.31443e-05 0
0.0297872 0 0 2.32785e-05 0
0.0283688 0 0 2.34128e-05 0
0.0269504 0 0 2.35469e-05 0
0.0255319 0 0 2.36809e-05 0
0.0241135 0 0 2.38147e-05 0
0.022695 0 0 2.39481e-05 0
0.0212766 0 0 2.4081e-05 0
0.0198582 0 0 2.42132e-05 0
0.0184397 0 0 2.43445e-05 0
0.0170213 0 0 2.44747e-05 0
0.0156028 0 0 2.46034e-05 0
0.0141844 0 0 2.47302e-05 0
0.012766 0 0 2.48546e-05 0
0.0113475 0 0 2.49758e-05 0
0.00992908 0 0 2.50929e-05 0
0.00851064 0 0 2.52046e-05 0
0.0070922 0 0 2.53089e-05 0
0.00567376 0 0 2.54037e-05 0
0.00425532 0 0 2.54858e-05 0
0.00283688 0 0 2.55497e-05 0
0.00141844 0 0 2.5595e-05 0
0 0.00142857 0 2.56455e-05 0
0 0.00285714 0 2.5701e-05 0
0 0.00428571 0 2.57884e-05 0
0 0.00571429 0 2.59363e-05 0
0 0.00714286 0 2.65e-05 0
0 0.00857143 0 2.65e-05 0
0 0.01 0 2.65e-05 0
0 0.0114286 0 2.65e-05 0
0 0.0128571 0 2.65e-05 0
0 0.0142857 0 2.65e-05 0
0 0.0157143 0 2.65e-05 0
0 0.0171429 0 2.65e-05 0
0 0.0185714 0 2.65e-05 0
0 0.02 0 2.65e-05 0
0 0.0214286 0 2.65e-05 0
0 0.0228571 0 2.65e-05 0
0 0.0242857 0 2.65e-05 0
0 0.0257143 0 2.65e-05 0
0 0.0271429 0 2.65e-05 0
0 0.0285714 0 2.65e-05 0
0 0.03 0 2.65e-05 0
0 0.0314286 0 2.65e-05 0
0 0.0328571 0 2.65e-05 0
0 0.0342857 0 2.65e-05 0
0 0.0357143 0 2.65e-05 0
0 0.0371429 0 2.65e-05 0
0 0.0385714 0 2.65e-05 0
0 0.04 0 2.65e-05 0
0 0.0414286 0 2.65e-05 0
0 0.0428571 0 2.65e-05 0
0 0.0442857 0 2.65e-05 0
0 0.0457143 0 2.65e-05 0
0 0.0471429 0 2.65e-05 0
0 0.0485714 0 2.65e-05 0
0 0.05 0 2.65e-05 0
0 0.0514286 0 2.65e-05 0
0 0.0528571 0 2.65e-05 0
0 0.0542857 0 2.65e-05 0
0 0.0557143 0 2.65e-05 0
0 0.0571429 0 2.65e-05 0
0 0.0585714 0 2.65e-05 0
0 0.06 0 2.65e-05 0
0 0.0614286 0 2.65e-05 0
0 0.0628571 0 2.65e-05 0
0 0.0642857 0 2.65e-05 0
0 0.0657143 0 2.65e-05 0
0 0.0671429 0 2.65e-05 0
0 0.0685714 0 2.65e-05 0
0 0.07 0 2.65e-05 0
0 0.0714286 0 2.65e-05 0
0 0.0728571 0 2.65e-05 0
0 0.0742857 0 2.65e-05 0
0 0.0757143 0 2.65e-05 0
0 0.0771429 0 2.65e-05 0
0 0.0785714 0 2.65e-05 0
0 0.08 0 2.65e-05 0
0 0.0814286 0 2.65e-05 0
0 0.0828571 0 2.65e-05 0
0 0.0842857 0 2.65e-05 0
0 0.0857143 0 2.65e-05 0
0 0.0871429 0 2.65e-05 0
0 0.0885714 0 2.65e-05 0
0 0.09 0 2.65e-05 0
0 0.0914286 0 2.65e-05 0
0 0.0928571 0 2.65e-05 0
0 0.0942857 0 2.65e-05 0
0 0.0957143 0 2.65e-05 0
0 0.0971429 0 2.60554e-05 0
0 0.0985714 0 2.59674e-05 0
0.00141844 0.0985714 0 2.59145e-05 0
0.00141844 0.0971429 0 2.59697e-05 0
0.00141844 0.0957143 0 2.60448e-05 0
0.00141844 0.0942857 0 2.60981e-05 0
0.00141844 0.0928571 0 2.61313e-05 0
0.00141844 0.0914286 0 2.61522e-05 0
0.00141844 0.09 0 2.61636e-05 0
0.00141844 0.0885714 0 2.6171e-05 0
0.00141844 0.0871429 0 2.61762e-05 0
0.00141844 0.0857143 0 2.618e-05 0
0.00141844 0.0842857 0 2.61828e-05 0
0.00141844 0.0828571 0 2.61849e-05 0
0.00141844 0.0814286 0 2.61865e-05 0
0.00141844 0.08 0 2.61879e-05 0
0.00141844 0.0785714 0 2.61889e-05 0
0.00141844 0.0771429 0 2.61898e-05 0
0.00141844 0.0757143 0 2.61905e-05 0
0.00141844 0.0742857 0 2.61911e-05 0
0.00141844 0.0728571 0 2.61916e-05 0
0.00141844 0.0714286 0 2.6192e-05 0
0.00141844 0.07 0 2.61923e-05 0
0.00141844 0.0685714 0 2.61926e-05 0
0.00141844 0.0671429 0 2.61928e-05 0
0.00141844 0.0657143 0 2.6193e-05 0
0.00141844 0.0642857 0 2.61932e-05 0
0.00141844 0.0628571 0 2.61933e-05 0
0.00141844 0.0614286 0 2.61933e-05 0
0.00141844 0.06 0 2.61934e-05 0
0.00141844 0.0585714 0 2.61934e-05 0
0.00141844 0.0571429 0 2.61934e-05 0
0.00141844 0.0557143 0 2.61934e-05 0
0.00141844 0.0542857 0 2.61934e-05 0
0.00141844 0.0528571 0 2.61933e-05 0
0.00141844 0.0514286 0 2.61932e-05 0
0.00141844 0.05 0 2.61931e-05 0
0.00141844 0.0485714 0 2.61929e-05 0
0.00141844 0.0471429 0 2.61928e-05 0
0.00141844 0.0457143 0 2.61925e-05 0
0.00141844 0.0442857 0 2.61923e-05 0
0.00141844 0.0428571 0 2.6192e-05 0
0.00141844 0.0414286 0 2.61917e-05 0
0.00141844 0.04 0 2.61914e-05 0
0.00141844 0.0385714 0 2.61909e-05 0
0.00141844 0.0371429 0 2.61905e-05 0
0.00141844 0.0357143 0 2.61899e-05 0
0.00141844 0.0342857 0 2.61893e-05 0
0.00141844 0.0328571 0 2.61886e-05 0
0.00141844 0.0314286 0 2.61878e-05 0
