#Header
x y Displacement(m) Hydrogen_concentration(mol/m^2) Damage

Load step: 3000
0.184397 0 -2e-05 0 0
0.182979 0 -2e-05 0 0
0.18156 0 -2e-05 0 0
0.180142 0 -2e-05 0 0
0.178723 0 -2e-05 0 0
0.177305 0 -2e-05 0 0
0.175887 0 -2e-05 0 0
0.174468 0 -2e-05 0 0
0.17305 0 -2e-05 0 0
0.171631 0 -2e-05 0 0
0.170213 0 -2e-05 0 0
0.168794 0 -2e-05 0 0
0.167376 0 -2e-05 0 0
0.165957 0 -2e-05 0 0
0.164539 0 -2e-05 0 0
0.163121 0 -2e-05 0 0
0.161702 0 -2e-05 0 0
0.160284 0 -2e-05 0 0
0.158865 0 -2e-05 0 0
0.157447 0 -2e-05 0 0
0.156028 0 -2e-05 0 0
0.15461 0 -2e-05 0 0
0.153191 0 -2e-05 0 0
0.151773 0 -2e-05 0 0
0.150355 0 -2e-05 0 0
0.148936 0 -2e-05 0 0
0.147518 0 -2e-05 0 0
0.146099 0 -2e-05 0 0
0.144681 0 -2e-05 0 0
0.143262 0 -2e-05 0 0
0.141844 0 -2e-05 0 0
0.140426 0 -2e-05 0 0
0.139007 0 -2e-05 0 0
0.137589 0 -2e-05 0 0
0.13617 0 -2e-05 0 0
0.134752 0 -2e-05 0 0
0.133333 0 -2e-05 0 0
0.131915 0 -2e-05 0 0
0.130496 0 -2e-05 0 0
0.129078 0 -2e-05 0 0
0.12766 0 -2e-05 0 0
0.126241 0 -2e-05 0 0
0.124823 0 -2e-05 0 0
0.123404 0 -2e-05 0 0
0.121986 0 -2e-05 0 0
0.120567 0 -2e-05 0 0
0.119149 0 -2e-05 0 0
0.11773 0 -2e-05 0 0
0.116312 0 -2e-05 0 0
0.114894 0 -2e-05 0 0
0.113475 0 -2e-05 0 0
0.112057 0 -2e-05 0 0
0.110638 0 -2e-05 0 0
0.10922 0 -2e-05 0 0
0.107801 0 -2e-05 0 0
0.106383 0 -2e-05 0 0
0.104965 0 -2e-05 0 0
0.103546 0 -2e-05 0 0
0.102128 0 -2e-05 0 0
0.100709 0 -2e-05 0 0
0.0992908 0 -2e-05 0 0
0.0978723 0 -2e-05 0 0
0.0964539 0 -2e-05 0 0
0.0950355 0 -2e-05 0 0
0.093617 0 -2e-05 0 0
0.0921986 0 -2e-05 0 0
0.0907801 0 -2e-05 0 0
0.0893617 0 -2e-05 0 0
0.0879433 0 -2e-05 0 0
0.0865248 0 -2e-05 0 0
0.0851064 0 -2e-05 0 0
0.0836879 0 -2e-05 0 0
0.0822695 0 -2e-05 0 0
0.0808511 0 -2e-05 0 0
0.0794326 0 -2e-05 0 0
0.0780142 0 -2e-05 0 0
0.0765957 0 -2e-05 0 0
0.0751773 0 -2e-05 0 0
0.0737589 0 -2e-05 0 0
0.0723404 0 -2e-05 0 0
0.070922 0 -2e-05 0 0
0.0695035 0 -2e-05 0 0
0.0680851 0 -2e-05 0 0
